kepid,kepoi_name,kepler_name,ra,dec,koi_kepmag,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_prad,koi_teq,koi_insol,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,sky_coord.ra,sky_coord.dec
3222680,K04966.01,,287.8613,38.372292,13.041,FALSE POSITIVE,0.0,0,1,1,0,2.31164074,132.12133,2.317,488.7,24.6,0.252,39.73,4074.0,65140.27,0.019743,4883.0,2.439,18.427,3.402,287.8613,38.372292
5986270,K05220.01,,298.38043,41.296391,12.224,CANDIDATE,1.0,0,0,0,0,1.534679933,132.331163,1.7237,456.6,64.6,0.108,18.39,3570.0,38505.56,0.019067,4965.0,2.863,8.834,2.079,298.38043,41.296391
6025174,K05224.01,,285.17563,41.342499,14.892,CANDIDATE,0.831,0,0,0,0,171.028691,301.7487,11.784,394.2,13.1,0.26,2.49,376.0,4.72,0.018205,6123.0,4.332,1.252,1.229,285.17563,41.342499
6058896,K05233.01,,296.37366,41.39183,14.784,FALSE POSITIVE,0.0,1,0,1,1,0.56493398,131.787277,2.4385,2067.0,166.0,1.26,30.51,2206.0,5609.14,0.311105,5808.0,4.402,0.898,0.743,296.37366,41.39183
6067545,K05236.01,,298.39798,41.314892,13.093,FALSE POSITIVE,0.0,1,0,0,0,550.86514,307.6878,14.548,346.5,20.8,0.027,2.06,238.0,0.76,0.016926,5912.0,4.367,1.115,1.056,298.39798,41.314892
6139220,K05241.01,,296.1803,41.413071,15.233,FALSE POSITIVE,0.0,0,1,0,0,273.6857427,350.85157,8.3881,15350.5,202.3,1.006,37.15,367.0,4.27,0.206159,6033.0,4.071,1.65,1.17,296.1803,41.413071
6145939,K05243.01,,297.67651,41.428589,12.366,FALSE POSITIVE,0.0,0,1,0,0,17.745456135,137.697754,4.0678,80258.0,272.2,1.049,116.14,1106.0,353.47,0.479927,6337.0,3.826,2.216,1.2,297.67651,41.428589
8155368,K05481.01,,287.80481,44.049191,15.121,FALSE POSITIVE,0.0,0,1,0,0,0.718643659,131.889141,2.51246,124930.0,575.0,0.922,50.85,2002.0,3813.75,0.498569,5853.0,4.483,0.934,0.967,287.80481,44.049191
8158429,K05482.01,,289.2291,44.09166,15.197,CANDIDATE,1.0,0,0,0,0,31.707574649,138.2539898,7.6771,787.3,5.5,0.923,2.96,547.0,21.1,0.031358,5861.0,4.546,0.865,0.957,289.2291,44.09166
8179747,K05483.01,,296.41702,44.04821,14.933,FALSE POSITIVE,0.0,0,1,0,0,17.946328114,136.9472719,8.15905,102994.0,3497.6,0.774,66.65,845.0,120.63,0.354437,5228.0,3.906,1.722,0.872,296.41702,44.04821
8197176,K05485.01,,300.88522,44.081329,17.054,CANDIDATE,0.275,0,0,0,0,9.3589254,133.482,3.169,1527.0,8.9,0.184,17.37,1528.0,1288.85,0.03519,5188.0,3.327,4.521,1.583,300.88522,44.081329
8197406,K05486.01,,300.94186,44.023651,12.572,CANDIDATE,1.0,0,0,0,0,4.15472242,132.61089,1.791,2243.0,19.7,0.971,23.47,2292.0,6522.18,0.063974,6996.0,3.627,3.359,1.742,300.94186,44.023651
8223655,K05488.01,,288.02615,44.118858,15.884,FALSE POSITIVE,0.0,0,1,0,0,280.1604956,286.93817,2.8637,12946.0,54.5,1.04,19.25,237.0,0.74,0.220656,5387.0,4.581,0.799,0.892,288.02615,44.118858
10007492,K05754.01,,290.08661,46.945202,12.375,FALSE POSITIVE,0.0,0,1,1,0,2.645596805,133.705953,2.9095,1272.7,166.8,1.239,167.05,2452.0,8539.63,0.281053,4980.0,3.167,5.443,1.589,290.08661,46.945202
10023469,K05757.01,,296.36893,46.957821,15.292,FALSE POSITIVE,0.01,0,0,1,0,44.637111,157.2998,5.868,282.5,9.4,0.029,1.28,432.0,8.22,0.015069,5222.0,4.518,0.78,0.73,296.36893,46.957821
10083325,K05761.01,,294.9733,47.015369,13.421,CANDIDATE,0.986,0,0,0,0,6.13292733,131.9926,1.561,58.7,10.0,0.225,1.56,1379.0,854.43,0.007003,5877.0,3.941,2.034,1.316,294.9733,47.015369
10090854,K05762.01,,297.39322,47.011459,15.633,CANDIDATE,1.0,0,0,0,0,12.63063129,136.70398,2.212,300.8,9.5,0.017,1.37,689.0,53.17,0.015742,5579.0,4.58,0.798,0.892,297.39322,47.011459
10141271,K05768.01,,291.90961,47.174339,15.555,FALSE POSITIVE,0.0,0,0,1,0,15.4032765,137.9906,3.246,253.0,9.2,0.623,1.32,626.0,36.41,0.01518,5272.0,4.508,0.799,0.751,291.90961,47.174339
10146103,K05769.01,,293.74625,47.15406,14.498,CANDIDATE,0.899,0,0,0,0,7.58062893,132.89809,3.484,86.1,10.9,0.382,0.97,937.0,182.01,0.00854,5753.0,4.417,1.041,1.034,293.74625,47.15406
5556804,K06013.01,,297.63263,40.709129,15.899,FALSE POSITIVE,0.0,1,0,1,1,12.4244306,141.647,26.15,214.1,15.5,0.98,1.59,714.0,61.31,0.018455,5761.0,4.581,0.791,0.881,297.63263,40.709129
5597970,K06014.01,,283.43982,40.83622,12.778,FALSE POSITIVE,0.0,0,1,0,0,6.71738328,137.2100078,3.60057,164979.0,1208.2,0.159,37.65,883.0,143.87,0.368371,5301.0,4.416,0.936,0.833,283.43982,40.83622
5643492,K06015.01,,297.76053,40.829948,14.528,FALSE POSITIVE,0.0,0,1,1,0,41.86539723,161.17679,6.663,4309.3,103.4,1.286,31.14,500.0,14.79,0.361885,6063.0,4.584,0.788,0.874,297.76053,40.829948
